Date,pm25_daily_mean,pm25_daily_mean_interpolated,was_interpolated,high_pm25_day,year,month,season,temperature_2m_mean,relative_humidity_2m_mean,dew_point_2m_mean,precipitation_sum,wind_speed_10m_mean,wind_direction_10m_dominant,pressure_msl_mean,shortwave_radiation_sum,cloud_cover_mean,wind_gusts_10m_max,et0_fao_evapotranspiration,wind_direction_sin,wind_direction_cos
2021-04-13,9.273833333333334,9.273833333333334,False,0,2021,4,Spring,4.4,72.0,-0.5,0.2,4.8,312.0,1032.7,16.45,37.0,18.7,2.04,-0.7431448254773946,0.6691306063588578
2021-04-14,10.067833333333333,10.067833333333333,False,0,2021,4,Spring,5.9,72.0,0.7,0.0,7.6,69.0,1033.8,15.34,46.0,27.7,2.19,0.9335804264972017,0.3583679495453004
2021-04-15,7.60425,7.60425,False,0,2021,4,Spring,5.3,67.0,-1.0,0.0,5.6,86.0,1034.5,20.01,28.0,22.0,2.64,0.9975640502598242,0.06975647374412523
2021-04-16,9.552791666666666,9.552791666666666,False,0,2021,4,Spring,6.2,67.0,-0.1,0.0,4.8,109.0,1032.0,15.82,47.0,20.2,2.16,0.9455185755993168,-0.32556815445715664
2021-04-17,14.592208333333334,14.592208333333334,False,0,2021,4,Spring,7.9,66.0,1.6,0.0,4.4,154.0,1029.5,14.62,70.0,16.9,2.15,0.4383711467890773,-0.898794046299167
2021-04-18,16.5705,16.5705,False,1,2021,4,Spring,8.7,64.0,2.0,0.0,4.9,204.0,1025.4,15.08,83.0,22.7,2.27,-0.4067366430758002,-0.9135454576426009
2021-04-19,13.857999999999999,13.857999999999999,False,0,2021,4,Spring,8.8,62.0,1.5,0.0,5.3,141.0,1021.5,22.62,7.0,20.2,3.28,0.6293203910498374,-0.7771459614569709
2021-04-20,24.188333333333333,24.188333333333333,False,1,2021,4,Spring,9.8,71.0,4.4,0.0,5.6,305.0,1018.5,15.58,89.0,19.8,2.44,-0.8191520442889918,0.573576436351046
2021-04-21,12.814625,12.814625,False,0,2021,4,Spring,9.1,68.0,3.2,0.0,16.8,69.0,1022.7,15.62,54.0,51.1,2.45,0.9335804264972017,0.3583679495453004
2021-04-22,8.045458333333334,8.045458333333334,False,0,2021,4,Spring,7.0,62.0,-0.7,0.0,5.1,108.0,1027.7,23.85,30.0,18.0,3.28,0.9510565162951536,-0.30901699437494734
2021-04-23,8.53275,8.53275,False,0,2021,4,Spring,9.8,54.0,0.1,0.0,8.6,115.0,1028.5,23.34,53.0,25.6,3.74,0.90630778703665,-0.42261826174069933
2021-04-24,10.210333333333333,10.210333333333333,False,0,2021,4,Spring,10.6,56.0,2.0,0.0,10.3,73.0,1028.8,19.06,65.0,33.8,3.38,0.9563047559630354,0.29237170472273677
2021-04-25,8.336333333333334,8.336333333333334,False,0,2021,4,Spring,8.3,68.0,2.2,0.0,10.1,75.0,1030.5,20.69,51.0,34.2,2.95,0.9659258262890683,0.25881904510252074
2021-04-26,11.078166666666666,11.078166666666666,False,0,2021,4,Spring,8.1,69.0,2.3,0.0,4.6,305.0,1022.9,20.69,66.0,21.2,2.91,-0.8191520442889918,0.573576436351046
